rank,finalWorth,category,personName,age,country,gender,source,status
1,211000,Fashion & Retail,Bernard Arnault & family,74,France,M,LVMH,U
2,180000,Automotive,Elon Musk,51,United States,M,"Tesla, SpaceX",D
3,114000,Technology,Jeff Bezos,59,United States,M,Amazon,D
4,107000,Technology,Larry Ellison,78,United States,M,Oracle,U
5,106000,Finance & Investments,Warren Buffett,92,United States,M,Berkshire Hathaway,D
6,104000,Technology,Bill Gates,67,United States,M,Microsoft,D
7,94500,Media & Entertainment,Michael Bloomberg,81,United States,M,Bloomberg LP,U
8,93000,Telecom,Carlos Slim Helu & family,83,Mexico,M,Telecom,U
9,83400,Diversified,Mukesh Ambani,65,India,M,Diversified,D
10,80700,Technology,Steve Ballmer,67,United States,M,Microsoft,D
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69,France,F,L'Oréal,U
12,79200,Technology,Larry Page,50,United States,M,Google,D
13,77300,Fashion & Retail,Amancio Ortega,87,Spain,M,Zara,U
14,76000,Technology,Sergey Brin,49,United States,M,Google,D
15,68000,Food & Beverage,Zhong Shanshan,68,China,M,"Beverages, pharmaceuticals",U
16,64400,Technology,Mark Zuckerberg,38,United States,M,Facebook,D
17,59000,Diversified,Charles Koch & family,87,United States,M,Koch Industries,D
17,59000,Diversified,Julia Koch & family,60,United States,F,Koch Industries,D
19,58800,Fashion & Retail,Jim Walton,74,United States,M,Walmart,D
20,57600,Fashion & Retail,Rob Walton & family,78,United States,M,Walmart,D
21,56700,Fashion & Retail,Alice Walton,73,United States,F,Walmart,D
22,54400,Media & Entertainment,David Thomson & family,65,Canada,M,Media,U
23,50100,Technology,Michael Dell,58,United States,M,Dell Technologies,D
24,47200,Diversified,Gautam Adani,60,India,M,"Infrastructure, commodities",D
25,45100,Fashion & Retail,Phil Knight & family,85,United States,M,Nike,D
26,45000,Technology,Zhang Yiming,39,China,M,TikTok,D
27,42900,Fashion & Retail,Dieter Schwarz,83,Germany,M,Retail,D
28,40100,Fashion & Retail,François Pinault & family,86,France,M,Luxury goods,D
29,39100,Logistics,Klaus-Michael Kuehne,85,Switzerland,M,Shipping,U
30,38900,Food & Beverage,Giovanni Ferrero,58,Belgium,M,"Nutella, chocolates",U
31,38300,Food & Beverage,Jacqueline Mars,83,United States,F,"Candy, pet food",U
31,38300,Food & Beverage,John Mars,87,United States,M,"Candy, pet food",U
33,38000,Diversified,Li Ka-shing,94,Hong Kong,M,Diversified,U
34,35300,Technology,Ma Huateng,51,China,M,Internet media,D
35,35000,Gambling & Casinos,Miriam Adelson & family,77,United States,F,Casinos,U
35,35000,Finance & Investments,Ken Griffin,54,United States,M,Hedge funds,U
37,34700,Food & Beverage,Mark Mateschitz,30,Austria,M,Red Bull,N
38,33400,Automotive,Robin Zeng,54,China,M,Batteries,D
39,32600,Fashion & Retail,Tadashi Yanai & family,74,Japan,M,Fashion retail,U
40,32100,Diversified,Len Blavatnik,65,United Kingdom,M,"Music, chemicals",D
41,31600,Fashion & Retail,Alain Wertheimer,74,United States,M,Chanel,U
41,31600,Fashion & Retail,Gerard Wertheimer,72,United States,M,Chanel,U
43,31200,Logistics,Gianluigi Aponte,82,Switzerland,M,Shipping,Split Family Fortune
43,31200,Logistics,Rafaela Aponte-Diamant,78,Switzerland,F,Shipping,Split Family Fortune
45,30200,Technology,Colin Zheng Huang,43,China,M,E-commerce,U
46,29700,Manufacturing,Reinhold Wuerth & family,87,Germany,M,Fasteners,U
47,29500,Real Estate,Lee Shau Kee,95,Hong Kong,M,Real estate,D
48,28500,Finance & Investments,Jeff Yass,64,United States,M,"Trading, investments",U
49,28100,Finance & Investments,Jim Simons,84,United States,M,Hedge funds,D
50,27800,Finance & Investments,Stephen Schwarzman,76,United States,M,Investments,D
51,27400,Automotive,Susanne Klatten,60,Germany,F,"BMW, pharmaceuticals",U
52,27000,Metals & Mining,Gina Rinehart,69,Australia,F,Mining,D
53,26700,Technology,William Ding,51,China,M,Online games,U
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69,Mexico,M,Mining,D
55,25600,Technology,Shiv Nadar,77,India,M,software services,D
56,25500,Energy,Low Tuck Kwong,74,Indonesia,M,Coal,U
57,25300,Finance & Investments,Thomas Peterffy,78,United States,M,Discount brokerage,U
58,25200,Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,M,"Fertilizers, coal",U
59,24600,Automotive,Stefan Quandt,56,Germany,M,BMW,U
60,24400,Technology,MacKenzie Scott,52,United States,F,Amazon,D
61,24200,Finance & Investments,R. Budi Hartono,82,Indonesia,M,"Banking, tobacco",U
62,23700,Metals & Mining,Vladimir Potanin,62,Russia,M,Metals,U
63,23500,Technology,Jack Ma,58,China,M,E-commerce,U
64,23400,Manufacturing,He Xiangjian & family,80,China,M,Home appliances,D
65,23100,Metals & Mining,Iris Fontbona & family,80,Chile,F,Mining,U
65,23100,Manufacturing,Michael Hartono,83,Indonesia,M,"Banking, tobacco",U
67,22900,Manufacturing,James Ratcliffe,70,United Kingdom,M,Chemicals,U
68,22600,Healthcare,Cyrus Poonawalla,81,India,M,Vaccines,D
69,22400,Telecom,Masayoshi Son,65,Japan,M,"Internet, telecom",U
70,22100,Metals & Mining,Vladimir Lisin,66,Russia,M,"Steel, transport",U
71,22000,Food & Beverage,Emmanuel Besnier,52,France,M,Cheese,D
72,21600,Finance & Investments,Abigail Johnson,61,United States,F,Fidelity,U
72,21600,Energy,Leonid Mikhelson & family,67,Russia,M,"Gas, chemicals",U
74,21200,Fashion & Retail,Lukas Walton,36,United States,M,Walmart,U
74,21200,Service,Wang Wei,52,China,M,Package delivery,D
76,21100,Technology,Jensen Huang,60,United States,M,Semiconductors,U
77,21000,Fashion & Retail,Leonard Lauder,90,United States,M,Estee Lauder,D
77,21000,Manufacturing,Takemitsu Takizaki,77,Japan,M,Sensors,D
79,20900,Metals & Mining,Alexey Mordashov & family,57,Russia,M,"Steel, investments",U
80,20500,Energy,Vagit Alekperov,72,Russia,M,Oil,U
81,20200,Healthcare,"Thomas Frist, Jr. & family",84,United States,M,Hospitals,D
82,19600,Metals & Mining,Andrew Forrest,61,Australia,M,Mining,U
83,19100,Finance & Investments,Ray Dalio,73,United States,M,Hedge funds,D
84,19000,Automotive,Eric Li,59,China,M,Automobiles,D
84,19000,Metals & Mining,Wang Wenyin,55,China,M,"Mining, copper products",U
86,18900,Diversified,Eyal Ofer,72,Monaco,M,"Real estate, shipping",U
86,18900,Food & Beverage,Qin Yinglin,57,China,M,Pig breeding,D
88,18700,Automotive,Wang Chuanfu,57,China,M,"Batteries, automobiles",D
89,18500,Energy,Harold Hamm & family,77,United States,M,Oil & gas,U
89,18500,Finance & Investments,David Tepper,65,United States,M,Hedge funds,U
89,18500,Energy,Gennady Timchenko,70,Russia,M,"Oil, gas",U
92,18000,Finance & Investments,Daniel Gilbert,61,United States,M,Quicken Loans,D
93,17700,Metals & Mining,Lakshmi Mittal,72,United Kingdom,M,Steel,D
94,17500,Finance & Investments,Steve Cohen,66,United States,M,Hedge funds,U
94,17500,Finance & Investments,Carl Icahn,87,United States,M,Investments,U
94,17500,Metals & Mining,Savitri Jindal & family,73,India,F,Steel,D
97,17400,Real Estate,Donald Bren,90,United States,M,Real estate,U
97,17400,Fashion & Retail,"John Menard, Jr.",83,United States,M,Home improvement stores,U
99,17100,Media & Entertainment,Rupert Murdoch & family,92,United States,M,"Newspapers, TV network",D
100,16700,Finance & Investments,Vicky Safra & family,70,Switzerland,F,Banking,U
101,16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72,Germany,M,"Aldi, Trader Joe's",D
101,16500,Finance & Investments,Renata Kellnerova & family,55,Czech Republic,F,"Finance, telecommunications",D
103,16300,Healthcare,Li Xiting,72,China,M,medical devices,D
104,16200,Fashion & Retail,Stefan Persson,75,Sweden,M,H&M,D
104,16200,Technology,Eric Schmidt,67,United States,M,Google,D
106,16000,Finance & Investments,Michael Platt,55,Switzerland,M,Hedge funds,U
107,15900,Food & Beverage,Pang Kang,67,China,M,Soy sauce,D
108,15800,Fashion & Retail,Karl Albrecht Jr. & family,,Germany,M,Supermarkets,Split Family Fortune
108,15800,Fashion & Retail,Beate Heister,,,F,Supermarkets,Split Family Fortune
108,15800,Food & Beverage,Jorge Paulo Lemann & family,83,Switzerland,M,Beer,U
108,15800,Real Estate,Peter Woo,76,Hong Kong,M,Real estate,D
112,15600,Healthcare,Dilip Shanghvi,67,India,M,Pharmaceuticals,E
113,15500,Technology,Robert Pera,45,United States,M,Wireless networking,U
114,15300,Fashion & Retail,Radhakishan Damani,68,India,M,"Retail, investments",D
115,15200,Automotive,Huang Shilin,56,China,M,Batteries,D
116,14900,Diversified,Dhanin Chearavanont,83,Thailand,M,Diversified,U
116,14900,Fashion & Retail,David Green & family,81,United States,M,Retail,U
118,14800,Food & Beverage,Charoen Sirivadhanabhakdi,78,Thailand,M,"Alcohol, real estate",U
119,14700,Food & Beverage,Charlene de Carvalho-Heineken & family,68,United Kingdom,F,Heineken,D
120,14600,Healthcare,Xu Hang,60,China,M,Medical devices,D
121,14500,Automotive,Wei Jianjun & family,59,China,M,Automobiles,D
122,14400,Metals & Mining,Alisher Usmanov,69,Uzbekistan,M,"Steel, telecom, investments",U
123,14300,Manufacturing,Goh Cheng Liang,95,Singapore,M,Paints,U
124,14200,Diversified,Kumar Birla,55,India,M,Commodities,D
124,14200,Manufacturing,Aliko Dangote,65,Nigeria,M,"Cement, sugar",U
126,14100,Real Estate,Kwong Siu-hing,93,Hong Kong,F,Real estate,U
127,14000,Diversified,Idan Ofer,67,United Kingdom,M,Shipping,U
128,13900,Healthcare,Chen Bang,57,China,M,Hospitals,U
128,13900,Gambling & Casinos,Lui Che Woo,94,Hong Kong,M,Casinos/hotels,U
130,13700,Logistics,John Fredriksen,78,United Kingdom,M,Shipping,U
